url,screenshot,palette,heatmap,color_1,prop_1,color_2,prop_2,color_3,prop_3,color_4,prop_4,color_5,prop_5
https://ch-lovers.neocities.org,screenshots\ch-lovers.neocities.org.png,palettes\ch-lovers.neocities.org_palette.png,heatmaps\ch-lovers.neocities.org_heatmap.png,#2c6d83,"77,07",#d39415,"11,52",#e8dfb4,"4,17",#684d2f,"3,93",#cdb474,"3,31"
https://hipolitico.neocities.org,screenshots\hipolitico.neocities.org.png,palettes\hipolitico.neocities.org_palette.png,heatmaps\hipolitico.neocities.org_heatmap.png,#7aaf99,"17,41",#0c2c1c,"57,52",#83baa3,"22,78",#5f8976,"1,92",#e1e9e5,"0,36"
https://dirgi.neocities.org,screenshots\dirgi.neocities.org.png,palettes\dirgi.neocities.org_palette.png,heatmaps\dirgi.neocities.org_heatmap.png,#010204,"53,9",#704752,"7,59",#430834,"33,21",#bea891,"3,36",#e12f74,"1,94"
https://todo-sin-gluten.neocities.org,screenshots\todo-sin-gluten.neocities.org.png,palettes\todo-sin-gluten.neocities.org_palette.png,heatmaps\todo-sin-gluten.neocities.org_heatmap.png,#6bd4f0,"58,48",#fbfdfe,"10,49",#e1e2dd,"5,78",#65c9e4,"21,12",#a1e4f5,"4,14"
https://tunisiancrystal.neocities.org,screenshots\tunisiancrystal.neocities.org.png,palettes\tunisiancrystal.neocities.org_palette.png,heatmaps\tunisiancrystal.neocities.org_heatmap.png,#e3e4e8,"42,32",#2a3f8e,"16,22",#bebdc2,"12,86",#2c2973,"22,24",#948d96,"6,35"
https://overnsworkshop.neocities.org,screenshots\overnsworkshop.neocities.org.png,palettes\overnsworkshop.neocities.org_palette.png,heatmaps\overnsworkshop.neocities.org_heatmap.png,#7a656a,"4,36",#60141c,"52,68",#030203,"33,16",#b7b0af,"2,23",#333233,"7,58"
https://megadriver.neocities.org,screenshots\megadriver.neocities.org.png,palettes\megadriver.neocities.org_palette.png,heatmaps\megadriver.neocities.org_heatmap.png,#dadfdb,"15,18",#eff5ef,"62,32",#e0e6e1,6,#dce2de,"15,02",#e7ede7,"1,49"
https://escribir.neocities.org,screenshots\escribir.neocities.org.png,palettes\escribir.neocities.org_palette.png,heatmaps\escribir.neocities.org_heatmap.png,#cef1e9,"88,84",#427075,"3,04",#92b3b2,1,#d18282,"0,22",#c6d8d3,"6,91"
https://robertoqs.neocities.org,screenshots\robertoqs.neocities.org.png,palettes\robertoqs.neocities.org_palette.png,heatmaps\robertoqs.neocities.org_heatmap.png,#ffffff,100,,,,,,,,
https://diccionario.neocities.org,screenshots\diccionario.neocities.org.png,palettes\diccionario.neocities.org_palette.png,heatmaps\diccionario.neocities.org_heatmap.png,#fefefe,"99,13",#d5d5fb,"0,35",#bebef9,"0,19",#e6e6fc,"0,32",#c0c0c0,"0,02"
https://patatita2552.neocities.org,screenshots\patatita2552.neocities.org.png,palettes\patatita2552.neocities.org_palette.png,heatmaps\patatita2552.neocities.org_heatmap.png,#f2eee3,"62,81",#264c3d,"8,66",#d8b97f,"10,6",#d9d3bc,"13,18",#a47b5a,"4,75"
https://alevels.neocities.org,screenshots\alevels.neocities.org.png,palettes\alevels.neocities.org_palette.png,heatmaps\alevels.neocities.org_heatmap.png,#0000aa,"85,58",#989cd1,"1,46",#5352c4,"4,8",#f7f8f9,"1,26",#2525b6,"6,9"
https://kazantroten.neocities.org,screenshots\kazantroten.neocities.org.png,palettes\kazantroten.neocities.org_palette.png,heatmaps\kazantroten.neocities.org_heatmap.png,#bceefe,"77,61",#888883,"4,78",#efc99e,"9,79",#474642,"1,66",#95b5e5,"6,16"
